country,year,cluster_transicao,perfil_transicao,nome_sugerido,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,renewables_share_elec,fossil_share_elec,low_carbon_share_elec,carbon_intensity_elec,energy_per_capita,energy_per_gdp,indice_transicao_preliminar
Venezuela,2000,0,transicao_intermediaria,Perfil intermediario,22.962221145629883,77.03778076171875,22.962221145629883,73.75395965576172,26.24604225158692,73.75395965576172,212.7400054931641,31476.390625,2.3377578258514404,0.5570500538022164
Venezuela,2001,0,transicao_intermediaria,Perfil intermediario,20.704797744750977,79.29520416259766,20.704797744750977,67.07357788085938,32.926422119140625,67.07357788085938,261.57000732421875,32706.31640625,2.379760265350342,0.4913677014104595
Venezuela,2002,0,transicao_intermediaria,Perfil intermediario,20.257225036621094,79.7427749633789,20.257225036621094,64.81219482421875,35.18780517578125,64.81219482421875,274.1400146484375,32074.69921875,2.598191022872925,0.4741101875736303
Venezuela,2003,0,transicao_intermediaria,Perfil intermediario,22.800235748291016,77.19976043701172,22.800235748291016,65.82925415039062,34.170745849609375,65.82925415039062,263.7300109863281,28348.3203125,2.5194966793060303,0.50781870425194
Venezuela,2004,0,transicao_intermediaria,Perfil intermediario,23.592544555664062,76.40745544433594,23.592544555664062,71.10095977783203,28.89903450012207,71.10095977783203,228.6199951171875,31015.09765625,2.359002590179444,0.5480649388619964
Venezuela,2005,0,transicao_intermediaria,Perfil intermediario,24.79751205444336,75.2024917602539,24.79751205444336,73.28020477294922,26.719802856445312,73.28020477294922,211.22000122070312,31702.8515625,2.2138991355896,0.5749132296789872
Venezuela,2006,0,transicao_intermediaria,Perfil intermediario,23.66125869750977,76.33873748779297,23.66125869750977,73.899658203125,26.10034370422364,73.899658203125,207.2100067138672,34305.8984375,2.2033846378326416,0.5670755230061761
Venezuela,2007,0,transicao_intermediaria,Perfil intermediario,22.962900161743164,77.03710174560547,22.962900161743164,72.72567749023438,27.27431869506836,72.72567749023438,217.6699981689453,35286.96875,2.110559225082397,0.5516296807428798
Venezuela,2008,0,transicao_intermediaria,Perfil intermediario,23.21727561950684,76.78272247314453,23.21727561950684,72.79127502441406,27.208715438842773,72.79127502441406,215.67999267578125,35657.37890625,2.048633337020874,0.5553076896991938
Venezuela,2009,0,transicao_intermediaria,Perfil intermediario,22.612350463867188,77.38764953613281,22.612350463867188,71.89094543457031,28.10905838012696,71.89094543457031,222.1300048828125,35542.9921875,2.1308395862579346,0.543452296562156
Venezuela,2010,0,transicao_intermediaria,Perfil intermediario,21.1513900756836,78.8486099243164,21.1513900756836,67.49296569824219,32.50703048706055,67.49296569824219,252.0200042724609,33214.375,2.003822565078736,0.5014668535359966
Venezuela,2011,0,transicao_intermediaria,Perfil intermediario,21.631053924560547,78.36894989013672,21.631053924560547,70.93082427978516,29.06917762756348,70.93082427978516,227.1100006103516,34603.76953125,2.0090341567993164,0.5282275819589335
Venezuela,2012,0,transicao_intermediaria,Perfil intermediario,20.22828483581543,79.77171325683594,20.22828483581543,63.95448303222656,36.04551696777344,63.95448303222656,279.8699951171875,35695.15234375,1.98679518699646,0.4685720780347125
Venezuela,2013,0,transicao_intermediaria,Perfil intermediario,20.391525268554688,79.60847473144531,20.391525268554688,61.88854598999024,38.111446380615234,61.88854598999024,297.7900085449219,34668.44921875,1.9271656274795528,0.4557802250017438
Venezuela,2014,0,transicao_intermediaria,Perfil intermediario,20.50131797790528,79.4986801147461,20.50131797790528,55.8708610534668,44.12913131713867,55.8708610534668,341.489990234375,33490.9609375,1.9592840671539309,0.4185603793503889
Venezuela,2015,0,transicao_intermediaria,Perfil intermediario,19.80622291564941,80.19377899169922,19.80622291564941,58.81430435180664,41.18569946289063,58.81430435180664,318.92999267578125,31703.462890625,1.9986592531204224,0.4307607462285794
Venezuela,2016,0,transicao_intermediaria,Perfil intermediario,18.01517868041992,81.98481750488281,18.01517868041992,53.92509078979492,46.07490921020508,53.92509078979492,356.760009765625,28931.044921875,2.2122931480407715,0.3803487033001539
Venezuela,2017,0,transicao_intermediaria,Perfil intermediario,20.3550033569336,79.6449966430664,20.3550033569336,58.3911361694336,41.60886001586914,58.3911361694336,320.8099975585937,28560.93359375,2.5729780197143555,0.4341801547363796
Venezuela,2018,0,transicao_intermediaria,Perfil intermediario,22.649826049804688,77.35017395019531,22.649826049804688,58.36927032470703,41.63072967529297,58.36927032470703,320.92999267578125,24419.02734375,2.67012095451355,0.4574209444341802
Venezuela,2019,0,transicao_intermediaria,Perfil intermediario,24.050092697143555,75.94990539550781,24.050092697143555,58.37932968139648,41.62066650390625,58.37932968139648,320.8500061035156,22702.53125,3.33197283744812,0.4717438138821299
Venezuela,2020,0,transicao_intermediaria,Perfil intermediario,32.08118438720703,67.91881561279297,32.08118438720703,77.6797866821289,22.320207595825195,77.6797866821289,184.57000732421875,18557.822265625,3.824256658554077,0.6747481322259699
Venezuela,2021,0,transicao_intermediaria,Perfil intermediario,28.157299041748047,71.84269714355469,28.157299041748047,79.2354965209961,20.76449966430664,79.2354965209961,174.24000549316406,21392.791015625,4.356720447540283,0.6442829281378678
Venezuela,2022,0,transicao_intermediaria,Perfil intermediario,26.48430061340332,73.51570129394531,26.48430061340332,78.36328125,21.636716842651367,78.36328125,180.42999267578125,22898.904296875,4.316129207611084,0.6217576279701769
