country,year,perfil_transicao,renewables_share_energy,fossil_share_energy,renewables_share_elec,fossil_share_elec,carbon_intensity_elec,energy_per_capita,energy_per_gdp,indice_transicao_preliminar
Venezuela,2000,transicao_intermediaria,22.962221145629883,77.03778076171875,73.75395965576172,26.24604225158692,212.7400054931641,31476.390625,2.3377578258514404,0.5570500538022164
Venezuela,2001,transicao_intermediaria,20.704797744750977,79.29520416259766,67.07357788085938,32.926422119140625,261.57000732421875,32706.31640625,2.379760265350342,0.4913677014104595
Venezuela,2002,transicao_intermediaria,20.257225036621094,79.7427749633789,64.81219482421875,35.18780517578125,274.1400146484375,32074.69921875,2.598191022872925,0.4741101875736303
Venezuela,2003,transicao_intermediaria,22.800235748291016,77.19976043701172,65.82925415039062,34.170745849609375,263.7300109863281,28348.3203125,2.5194966793060303,0.50781870425194
Venezuela,2004,transicao_intermediaria,23.592544555664062,76.40745544433594,71.10095977783203,28.89903450012207,228.6199951171875,31015.09765625,2.359002590179444,0.5480649388619964
Venezuela,2005,transicao_intermediaria,24.79751205444336,75.2024917602539,73.28020477294922,26.719802856445312,211.22000122070312,31702.8515625,2.2138991355896,0.5749132296789872
Venezuela,2006,transicao_intermediaria,23.66125869750977,76.33873748779297,73.899658203125,26.10034370422364,207.2100067138672,34305.8984375,2.2033846378326416,0.5670755230061761
Venezuela,2007,transicao_intermediaria,22.962900161743164,77.03710174560547,72.72567749023438,27.27431869506836,217.6699981689453,35286.96875,2.110559225082397,0.5516296807428798
Venezuela,2008,transicao_intermediaria,23.21727561950684,76.78272247314453,72.79127502441406,27.208715438842773,215.67999267578125,35657.37890625,2.048633337020874,0.5553076896991938
Venezuela,2009,transicao_intermediaria,22.612350463867188,77.38764953613281,71.89094543457031,28.10905838012696,222.1300048828125,35542.9921875,2.1308395862579346,0.543452296562156
Venezuela,2010,transicao_intermediaria,21.1513900756836,78.8486099243164,67.49296569824219,32.50703048706055,252.0200042724609,33214.375,2.003822565078736,0.5014668535359966
Venezuela,2011,transicao_intermediaria,21.631053924560547,78.36894989013672,70.93082427978516,29.06917762756348,227.1100006103516,34603.76953125,2.0090341567993164,0.5282275819589335
Venezuela,2012,transicao_intermediaria,20.22828483581543,79.77171325683594,63.95448303222656,36.04551696777344,279.8699951171875,35695.15234375,1.98679518699646,0.4685720780347125
Venezuela,2013,transicao_intermediaria,20.391525268554688,79.60847473144531,61.88854598999024,38.111446380615234,297.7900085449219,34668.44921875,1.9271656274795528,0.4557802250017438
Venezuela,2014,transicao_intermediaria,20.50131797790528,79.4986801147461,55.8708610534668,44.12913131713867,341.489990234375,33490.9609375,1.9592840671539309,0.4185603793503889
Venezuela,2015,transicao_intermediaria,19.80622291564941,80.19377899169922,58.81430435180664,41.18569946289063,318.92999267578125,31703.462890625,1.9986592531204224,0.4307607462285794
Venezuela,2016,transicao_intermediaria,18.01517868041992,81.98481750488281,53.92509078979492,46.07490921020508,356.760009765625,28931.044921875,2.2122931480407715,0.3803487033001539
Venezuela,2017,transicao_intermediaria,20.3550033569336,79.6449966430664,58.3911361694336,41.60886001586914,320.8099975585937,28560.93359375,2.5729780197143555,0.4341801547363796
Venezuela,2018,transicao_intermediaria,22.649826049804688,77.35017395019531,58.36927032470703,41.63072967529297,320.92999267578125,24419.02734375,2.67012095451355,0.4574209444341802
Venezuela,2019,transicao_intermediaria,24.050092697143555,75.94990539550781,58.37932968139648,41.62066650390625,320.8500061035156,22702.53125,3.33197283744812,0.4717438138821299
Venezuela,2020,transicao_intermediaria,32.08118438720703,67.91881561279297,77.6797866821289,22.320207595825195,184.57000732421875,18557.822265625,3.824256658554077,0.6747481322259699
Venezuela,2021,transicao_intermediaria,28.157299041748047,71.84269714355469,79.2354965209961,20.76449966430664,174.24000549316406,21392.791015625,4.356720447540283,0.6442829281378678
Venezuela,2022,transicao_intermediaria,26.48430061340332,73.51570129394531,78.36328125,21.636716842651367,180.42999267578125,22898.904296875,4.316129207611084,0.6217576279701769
